Title,Type,Categories,url
Firecamp,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Firecamp
Cinder,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Cinder
Algon,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Algon
Firenergy World Lake,Individual,地點,https://elementworld.fandom.com/zh-tw/wiki/Firenergy_World_Lake
H,Individual,IA,
Li,Individual,IA,
Na,Individual,IA,
K,Individual,IA,
Rb,Individual,IA,
Cs,Individual,IA,
Fr,Individual,IA,
Be,Individual,IIA,
Mg,Individual,IIA,
Ca,Individual,IIA,
Sr,Individual,IIA,
Ba,Individual,IIA,
Ra,Individual,IIA,
B,Individual,IIIA,
Al,Individual,IIIA,
Ga,Individual,IIIA,
In,Individual,IIIA,
Tl,Individual,IIIA,
Nh,Individual,IIIA,
C,Individual,IVA,
Si,Individual,IVA,
Ge,Individual,IVA,
Sn,Individual,IVA,
Pb,Individual,IVA,
Fl,Individual,IVA,
N,Individual,VA,
P,Individual,VA,
As,Individual,VA,
Sb,Individual,VA,
Bi,Individual,VA,
Mc,Individual,VA,
O,Individual,VIA,
S,Individual,VIA,
Se,Individual,VIA,
Te,Individual,VIA,
Po,Individual,VIA,
Lv,Individual,VIA,
F,Individual,VIIA,
Cl,Individual,VIIA,
Br,Individual,VIIA,
I,Individual,VIIA,
At,Individual,VIIA,
Ts,Individual,VIIA,
He,Individual,VIIIA,
Ne,Individual,VIIIA,
Ar,Individual,VIIIA,
Kr,Individual,VIIIA,
Xe,Individual,VIIIA,
Rn,Individual,VIIIA,
Og,Individual,VIIIA,
Cu,Individual,IB,
Ag,Individual,IB,
Au,Individual,IB,
Rg,Individual,IB,
Zn,Individual,IIB,
Cd,Individual,IIB,
Hg,Individual,IIB,
Cn,Individual,IIB,
Sc,Individual,IIIB,
Y,Individual,IIIB,
La,Individual,IIIB,
Ac,Individual,IIIB,
Ti,Individual,IVB,
Zr,Individual,IVB,
Hf,Individual,IVB,
Rf,Individual,IVB,
V,Individual,VB,
Nb,Individual,VB,
Ta,Individual,VB,
Db,Individual,VB,
Cr,Individual,VIB,
Mo,Individual,VIB,
W,Individual,VIB,
Sg,Individual,VIB,
Mn,Individual,VIIB,
Tc,Individual,VIIB,
Re,Individual,VIIB,
Bh,Individual,VIIB,
Fe,Individual,VIIIB,
Ru,Individual,VIIIB,
Os,Individual,VIIIB,
Hs,Individual,VIIIB,
Co,Individual,VIIIB,
Rh,Individual,VIIIB,
Ir,Individual,VIIIB,
Mt,Individual,VIIIB,
Ni,Individual,VIIIB,
Pd,Individual,VIIIB,
Pt,Individual,VIIIB,
Ds,Individual,VIIIB,
純血者-H,Individual,"Believer,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-%C4%A4
純血者-AM,Individual,"Believer,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-%C3%81M
純血者-P王,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-P%E7%8E%8B
純血者-Pb王,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-Pb%E7%8E%8B
純血者-K,Individual,"Utobian,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-K
純血者-Fr,Individual,"Utobian,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-Fr
純血者-Au,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E7%B4%94%E8%A1%80%E8%80%85-Au
氘七世,Individual,"Believer,純血者",https://elementworld.fandom.com/zh-tw/wiki/%E6%B0%98%E4%B8%83%E4%B8%96
Pb八世,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/Pb%E5%85%AB%E4%B8%96
Ag,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/Ag
2-Hg,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/2-Hg
2-Au,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/2-Au
1-Hg,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/1-Hg
1-Au-1,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/1-Au-1
1-Au,Individual,"Baffarian,純血者",https://elementworld.fandom.com/zh-tw/wiki/1-Au
鎳黃鐵礦,Individual,"Losinian,雜種",https://elementworld.fandom.com/zh-tw/wiki/%E9%8E%B3%E9%BB%83%E9%90%B5%E7%A4%A6
PCDD,Individual,"Solamanian,雜種",https://elementworld.fandom.com/zh-tw/wiki/PCDD
王水 ,Individual,"Solamanian,雜種",https://elementworld.fandom.com/zh-tw/wiki/%E7%8E%8B%E6%B0%B4
水,Individual,"Losinian,混血者",https://elementworld.fandom.com/zh-tw/wiki/%E6%B0%B4
氫氧化鎂 ,Individual,"Losinian,混血者",https://elementworld.fandom.com/zh-tw/wiki/%E6%B0%AB%E6%B0%A7%E5%8C%96%E9%8E%82
ZnTi合金王,Individual,"Alofian,混血者",https://elementworld.fandom.com/zh-tw/wiki/ZnTi%E5%90%88%E9%87%91%E7%8E%8B
ZnSo4 ,Individual,"Hamolian,混血者",https://elementworld.fandom.com/zh-tw/wiki/ZnSo4
ZnMg合金王,Individual,"Losinian,混血者",https://elementworld.fandom.com/zh-tw/wiki/ZnMg%E5%90%88%E9%87%91%E7%8E%8B
ZnAl合金王 ,Individual,"Alofian,混血者",https://elementworld.fandom.com/zh-tw/wiki/ZnAl%E5%90%88%E9%87%91%E7%8E%8B
SiO2,Individual,"Baffarian,混血者",https://elementworld.fandom.com/zh-tw/wiki/SiO2
PbO 八世,Individual,"Baffarian,混血者",https://elementworld.fandom.com/zh-tw/wiki/PbO_%E5%85%AB%E4%B8%96
HCl,Individual,"Alofian,混血者",https://elementworld.fandom.com/zh-tw/wiki/HCl
CO,Individual,"Alofian,混血者",https://elementworld.fandom.com/zh-tw/wiki/CO
C11H24,Individual,"Solamanian,混血者",https://elementworld.fandom.com/zh-tw/wiki/C11H24
Baffaria戰爭參謀,Individual,"Baffarian,混血者",https://elementworld.fandom.com/zh-tw/wiki/Baffaria%E6%88%B0%E7%88%AD%E5%8F%83%E8%AC%80
Alof反叛軍總領,Individual,"Alofian,混血者",https://elementworld.fandom.com/zh-tw/wiki/Alof%E5%8F%8D%E5%8F%9B%E8%BB%8D%E7%B8%BD%E9%A0%98
